name,website,sources,discovery_status
K-Scale Labs,kscale.dev,notion,dead
Kardium,kardium.com,notion,ok
Kepler Communications,kepler.space,twitter,ok
Kon Aerosystems,konaerosystems.com,notion,needs_manual
Kyber Labs,kyberlabs.ai,twitter,needs_manual
LayerZero,layerzero.network,twitter,ok
Lightmatter,lightmatter.co,notion,ok
Lodaria,lodaria.com,twitter,needs_manual
Maneva,maneva.ai,notion,ok
Matic Robots,maticrobots.com,twitter,ok
MatX,matx.com,notion,ok
Mechanize,mechanize.work,twitter,ok
Mecka,mecka.ai,twitter,ok
Medra,medra.ai,twitter,ok
Mesh Optical,,twitter,ok
MesoMat,mesomat.com,twitter,ok
METR,metr.org,twitter,ok
Modular,modular.com,notion,ok
Motif Neurotech,motifneuro.tech,notion,ok
NASA,nasa.gov,notion,ok
Neuralink,neuralink.com,notion,ok
Neurobionics,neurobionics.io,notion,needs_manual
Niantic Spatial,nianticspatial.com,twitter,ok
NordSpace,nordspace.com,twitter,ok
Nudge,nudge.com,notion,ok
Nuro,nuro.ai,manual,ok
NVIDIA,nvidia.com,"manual,notion",ok
Obsidian,obsidian.md,twitter,needs_manual
Oklo,oklo.com,twitter,ok
OmniVision,ovt.com,manual,pending
OnDeck Fisheries AI,ondeck.fish,notion,ok
OneCup AI,onecup.ai,notion,ok
Opal,opalcamera.com,twitter,ok
Oura,ouraring.com,twitter,ok
pamir.ai,pamir.ai,twitter,needs_manual
Paradromics,paradromics.com,notion,ok
Phantom Photonics,phantomphotonics.ca,notion,ok
Physical Intelligence,physicalintelligence.company,notion,ok
Planet Labs,planet.com,twitter,ok
Precigenetics,precigenetics.com,twitter,needs_manual
Precision Neuroscience,precisionneuro.io,notion,ok
Prime Intellect,primeintellect.ai,twitter,ok
Proception,proception.ai,twitter,ok
Pulsar Fusion,pulsarfusion.com,twitter,needs_manual
Radiant,radiantnuclear.com,twitter,ok
Radical AI,radical.ai,twitter,needs_manual
Rain AI,rain.ai,notion,ok
Ramp,ramp.com,manual,ok
Rebellions,rebellions.ai,manual,pending
Reducto,reducto.ai,twitter,ok
Reflect Orbital,reflectorbital.com,twitter,ok
Ricursive Intelligence,ricursive.com,twitter,ok
Saiwa,saiwa.ai,notion,ok
Sanctuary AI,sanctuary.ai,notion,ok
Science Corporation,science.xyz,notion,ok
Skild AI,skild.ai,twitter,ok
Skydio,skydio.com,manual,ok
Sonera,sonera.io,notion,dead
SpaceX,spacex.com,twitter,ok
Standard Bots,standardbots.com,twitter,ok
Standard Intelligence,,twitter,ok
Substrate,,twitter,ok
Sunday Robotics,,twitter,ok
Synapse Semi,synapsesemi.org,manual,pending
Synchron,synchron.com,notion,ok
Taalas,taalas.com,twitter,ok
Tenace Labs,tenacelabs.com,manual,pending
Tenomix,tenomix.com,notion,ok
Tenstorrent,tenstorrent.com,notion,ok
TerraFirma,terrafirma.inc,twitter,ok
Terraform Industries,terraformindustries.com,twitter,ok
Tesla,tesla.com,twitter,ok
Thinking Machines Lab,thinkingmachines.ai,twitter,ok
tnkr,tnkr.ai,twitter,ok
TRIUMF,triumf.ca,notion,ok
TSMC,tsmc.com,notion,ok
Turing Pi,turingpi.com,twitter,ok
Untether AI,untether.ai,notion,dead
Until,,twitter,ok
Valar Atomics,valaratomics.com,twitter,ok
Varda Space Industries,varda.com,twitter,ok
Vast Space,vastspace.com,twitter,ok
Veeda AI,,twitter,ok
Waabi,waabi.ai,twitter,ok
WUJI TECH,wuji.tech,twitter,needs_manual
Xona Space Systems,xonaspace.com,twitter,ok
Zeromatter,0m.dev,notion,ok
